FOLIO,FECHA,ESTADO,CIUDAD,TIENDA,EMPLEADO
00000001,18/mar/20,25,1,61,93
00000002,05/mar/20,18,3,86,3
00000003,30/oct/22,11,1,83,5
00000004,18/feb/20,32,18,42,44
00000005,29/jun/22,24,13,63,53
00000006,21/nov/22,26,5,52,70
00000007,05/abr/21,3,11,51,47
00000008,15/dic/21,16,15,9,87
00000009,20/nov/20,15,18,20,36
00000010,05/ene/22,8,17,76,30
00000011,15/dic/22,16,16,42,43
00000012,27/nov/21,10,2,21,52
00000013,15/ene/21,7,18,70,94
00000014,15/jun/21,2,11,10,41
00000015,30/oct/20,16,17,5,16
00000016,12/nov/21,15,19,20,61
00000017,08/ago/21,6,15,85,44
00000018,28/feb/21,23,1,83,17
00000019,20/sep/22,29,12,3,25
00000020,19/nov/22,21,11,15,34
00000021,30/may/20,18,13,8,32
00000022,30/jul/20,3,18,52,19
00000023,05/mar/20,32,18,63,2
00000024,29/abr/21,30,16,21,41
00000025,02/ago/22,21,2,9,43
00000026,30/jul/22,6,6,70,16
00000027,05/abr/22,3,20,86,21
00000028,30/may/21,8,4,71,69
00000029,22/nov/22,3,11,17,87
00000030,11/ago/21,2,14,42,60
00000031,24/sep/22,22,19,1,55
00000032,26/ene/21,26,15,15,75
00000033,20/mar/20,29,11,32,25
00000034,04/mar/22,20,12,64,29
00000035,26/abr/22,5,3,42,62
00000036,11/nov/20,6,11,98,35
00000037,04/ago/21,14,17,80,37
00000038,30/jul/20,31,4,51,66
00000039,06/mar/22,31,4,51,79
00000040,18/mar/22,11,6,80,40
00000041,18/sep/21,8,2,44,89
00000042,30/jul/22,11,10,89,83
00000043,08/ago/20,29,17,20,77
00000044,30/jul/21,7,4,44,96
00000045,30/may/20,10,2,47,23
00000046,21/ago/22,16,8,26,6
00000047,12/nov/21,32,1,79,16
00000048,06/nov/21,4,15,98,7
00000049,20/dic/21,16,20,31,60
00000050,30/jul/22,19,1,75,60
00000051,24/feb/20,30,3,13,10
00000052,20/jun/20,9,19,82,49
00000053,02/ago/21,32,12,24,57
00000054,02/dic/20,32,19,54,46
