TICKET,FECHA,IDESTADO,IDCIUDAD,IDTIENDA,IDEMPLEADO
00000001,2020-03-18,25,1,61,93
00000002,2020-03-05,18,3,86,3
00000003,2022-10-30,11,1,83,5
00000004,2020-02-18,32,18,42,44
00000005,2022-06-29,24,13,63,53
00000006,2022-11-21,26,5,52,70
00000007,2021-04-05,3,11,51,47
00000008,2021-12-15,16,15,9,87
00000009,2020-11-20,15,18,20,36
00000010,2022-01-05,8,17,76,30
00000011,2022-12-15,16,16,42,43
00000012,2021-11-27,10,2,21,52
00000013,2021-01-15,7,18,70,94
00000014,2021-06-15,2,11,10,41
00000015,2020-10-30,16,17,5,16
00000016,2021-11-12,15,19,20,61
00000017,2021-08-08,6,15,85,44
00000018,2021-02-28,23,1,83,17
00000019,2022-09-20,29,12,3,25
00000020,2022-11-19,21,11,15,34
00000021,2020-05-30,18,13,8,32
00000022,2020-07-30,3,18,52,19
00000023,2020-03-05,32,18,63,2
00000024,2021-04-29,30,16,21,41
00000025,2022-08-02,21,2,9,43
00000026,2022-07-30,6,6,70,16
00000027,2022-04-05,3,20,86,21
00000028,2021-05-30,8,4,71,69
00000029,2022-11-22,3,11,17,87
00000030,2021-08-11,2,14,42,60
00000031,2022-09-24,22,19,1,55
00000032,2021-01-26,26,15,15,75
00000033,2020-03-20,29,11,32,25
00000034,2022-03-04,20,12,64,29
00000035,2022-04-26,5,3,42,62
00000036,2020-11-11,6,11,98,35
00000037,2021-08-04,14,17,80,37
00000038,2020-07-30,31,4,51,66
00000039,2022-03-06,31,4,51,79
00000040,2022-03-18,11,6,80,40
00000041,2021-09-18,8,2,44,89
00000042,2022-07-30,11,10,89,83
00000043,2020-08-08,29,17,20,77
00000044,2021-07-30,7,4,44,96
00000045,2020-05-30,10,2,47,23
00000046,2022-08-21,16,8,26,6
00000047,2021-11-12,32,1,79,16
00000048,2021-11-06,4,15,98,7
00000049,2021-12-20,16,20,31,60
00000050,2022-07-30,19,1,75,60
00000051,2020-02-24,30,3,13,10
00000052,2020-06-20,9,19,82,49
00000053,2021-08-02,32,12,24,57
00000054,2020-12-02,32,19,54,46
00000055,2022-01-03,8,6,37,66
00000056,2022-05-30,29,12,11,61
00000057,2020-05-30,11,3,1,29
00000058,2022-12-15,7,16,46,89
00000059,2020-03-04,19,8,53,60
00000060,2021-04-29,29,19,19,42
00000061,2022-06-19,19,14,1,74
00000062,2021-02-04,22,18,18,63
00000063,2022-12-22,1,4,40,17
00000064,2022-10-30,9,7,63,37
00000065,2021-10-30,14,13,58,50
00000066,2021-04-07,14,1,47,59
00000067,2021-08-05,10,1,91,71
00000068,2021-04-01,28,12,16,76
00000069,2022-01-01,17,7,50,41
00000070,2022-11-01,27,20,32,3
00000071,2021-06-29,3,9,72,99
00000072,2021-03-24,8,12,46,84
00000073,2020-10-30,10,9,38,57
00000074,2022-08-26,8,13,73,2
00000075,2021-06-07,11,13,87,10
00000076,2021-11-26,29,3,91,85
00000077,2022-11-08,12,4,66,64
00000078,2021-11-05,29,15,27,77
00000079,2020-07-30,32,20,8,5
00000080,2022-03-09,25,9,40,19
00000081,2020-11-17,12,1,86,69
00000082,2021-01-06,12,19,74,41
00000083,2021-07-30,28,14,4,43
00000084,2022-06-19,19,15,33,11
00000085,2021-01-01,16,3,45,29
00000086,2020-07-30,23,4,94,9
00000087,2021-04-07,16,16,90,100
00000088,2021-06-11,11,19,73,29
00000089,2020-02-09,24,5,95,65
00000090,2021-11-01,11,13,78,78
00000091,2022-02-08,21,20,74,26
00000092,2021-11-20,10,5,78,60
00000093,2020-05-30,5,14,12,63
00000094,2020-04-07,19,4,54,5
00000095,2021-10-30,25,18,47,57
00000096,2021-03-12,2,15,31,53
00000097,2022-06-29,24,1,22,10
00000098,2022-04-22,32,5,49,25
00000099,2022-02-28,2,4,3,61
00000100,2022-03-12,14,7,64,60
00000101,2021-11-13,28,18,96,99
00000102,2021-11-10,21,1,10,3
00000103,2021-01-08,25,1,60,60
00000104,2020-03-25,22,3,57,77
00000105,2021-04-17,3,3,51,24
00000106,2020-11-04,3,14,36,85
00000107,2022-12-04,20,4,14,81
